ean;stock;stock_proveedor
197634749914;0;0
197634749884;0;0
2430040094314;0;0
2430010094313;0;0
2430020094310;0;0
197634749822;0;0
197634749846;0;0
197634750002;0;0
197634749891;0;0
197634749907;0;0
197634749938;0;0
2430120094319;0;0
197634749754;0;0
197634749662;0;0
197634749747;0;0
197634749655;0;0
197634749686;0;0
197634749679;0;0
197634749723;0;0
197634749730;0;0
2430010094306;0;0
2430020094303;0;0
197634749778;0;0
2430120094302;0;0
197634730462;0;0
197634730486;0;0
197634730455;0;0
197634730479;0;0
197634730530;0;0
2430010094290;0;0
2430020094297;0;0
197634730523;0;0
197634730554;0;0
2430100094292;0;0
2430110094299;0;0
2430120094296;0;0
2430010094283;0;0
2430020094280;0;0
3468337491576;0;0
3468337491583;0;0
3468337491590;0;0
3468337491606;0;0
2430070094285;0;0
2430080094282;0;0
2430090094289;0;0
2430010094245;0;0
2430020094242;0;0
2430030094249;0;0
8431690026841;0;0
8431690026858;0;0
8431690026865;0;0
8431690026872;0;0
2430080094244;0;0
2430090094241;0;0
2430100094247;0;0
2430020094235;0;0
2430030094232;0;0
8431690028647;0;0
2430010094238;0;0
8431690028654;0;0
8431690028661;0;0
8431690028678;0;0
2430080094237;0;0
2430090094234;0;0
2430100094230;0;0
2430010094221;0;0
2430020094228;0;0
2430030094225;0;0
8431690027923;0;0
8431690027930;0;0
8431690027954;0;0
2430080094220;0;0
8431690027947;0;0
2430090094227;0;0
2430100094223;0;0
2430010094214;0;0
2430020094211;0;0
3468337538172;0;0
3468337538189;0;0
3468337538196;0;0
3468337538202;0;0
2430070094216;0;0
2430080094213;0;0
2430090094210;0;0
2430010094207;0;0
2430020094204;0;0
3468337505358;0;0
3468337505365;0;0
3468337505372;0;0
2430060094202;0;0
2430070094209;0;0
2430080094206;0;0
2430090094203;0;0
2430010094191;0;0
3468337539759;0;0
2430020094198;0;0
3468337539766;0;0
3468337539773;0;0
3468337539780;0;0
2430070094193;0;0
2430080094190;0;0
2430090094197;0;0
2430010094184;0;0
2430020094181;0;0
3468337539360;0;0
3468337539377;0;0
3468337539384;0;0
3468337539391;0;0
2430070094186;0;0
2430080094183;0;0
2430090094180;0;0
2430010094177;0;0
2430020094174;0;0
3468337537175;0;0
3468337537182;0;0
3468337537199;0;0
3468337537205;0;0
3468337537137;0;0
2430080094176;0;0
2430090094173;0;0
2430010094160;0;0
2430020094167;0;0
2430030094164;0;0
3468337506447;0;0
3468337506454;0;0
3468337506461;0;0
2430070094162;0;0
2430080094169;0;0
2430090094166;0;0
2430010094153;0;0
3468337524960;0;0
3468337524977;0;0
3468337524984;0;0
3468337524991;0;0
3468337525004;0;0
2430070094155;0;0
2430080094152;0;0
2430090094159;0;0
195394553321;0;0
195394553338;0;0
195394622416;0;0
195394622423;0;0
2430010094092;0;0
2430020094099;0;0
2430030094096;0;0
2430040094093;0;0
2430050094090;0;0
2430060094097;0;0
2430070094094;0;0
197634101187;0;0
2430090094098;0;0
2430100094094;0;0
2430110094091;0;0
2430120094098;0;0
2430010094030;0;0
2430020094037;0;0
8056006364044;0;0
8056006364051;0;0
2430050094038;0;0
8056006363276;0;0
8056006363283;0;0
8056006363290;0;0
2430010094023;0;0
8056006363269;0;0
2430010094016;0;0
2430020094013;0;0
8056006362934;0;0
8056006362941;0;0
8056006362958;0;0
2430010094009;0;0
8056006356803;0;0
8056006356810;0;0
2430010093996;0;0
8056006356742;0;0
8056006356759;0;0
2430010093989;0;0
8056006356629;0;0
8056006356636;0;0
2430010093972;0;0
8056006356599;0;0
8056006356605;0;0
2430020093962;0;0
8056006340857;0;0
2430010093965;0;0
8056006363214;0;0
8056006363221;0;0
8056006363238;0;0
2430010093958;0;0
8056006340840;0;0
8056006364082;0;0
8056006364099;0;0
2430050093956;0;0
2430020093931;0;0
2430040093935;0;0
2430050093932;0;0
2430010093934;0;0
2430060093939;0;0
2430070093936;0;0
2430080093933;0;0
2430090093930;0;0
194151075076;0;0
197634719917;0;0
197634719948;0;0
197634719931;0;0
197634719993;0;0
2430080093926;0;0
197634719832;0;0
2430010093910;0;0
2430020093917;0;0
2430030093914;0;0
2430110093919;0;0
2430120093916;0;0
197634713724;0;0
197634713755;0;0
2430060093915;0;0
197634713823;0;0
197634713793;0;0
2430090093916;0;0
2430100093912;0;0
3468337524045;0;0
3468336604090;0;0
3468336608012;0;0
2430090093848;0;0
2430010093842;0;0
2430020093849;0;0
3468337481942;0;0
3468337481959;0;0
3468337481966;0;0
2430060093847;0;0
2430070093844;0;0
2430080093841;0;0
2430010093835;0;0
2430020093832;0;0
2430030093839;0;0
3468337495918;0;0
3468337495925;0;0
3468337495932;0;0
3468337495949;0;0
2430080093834;0;0
2430090093831;0;0
2430010093828;0;0
2430020093825;0;0
2430030093822;0;0
3468337555728;0;0
3468337555735;0;0
3468337555742;0;0
2430070093820;0;0
2430080093827;0;0
2430090093824;0;0
3468337331377;0;0
3468335830667;0;0
195394192544;0;0
195394192551;0;0
195394192568;0;0
195394192575;0;0
195394552843;0;0
195394552850;0;0
195394552867;0;0
195394552874;0;0
195394552881;0;0
195394552898;0;0
195394557220;0;0
195394557237;0;0
195394557244;0;0
195394557251;0;0
195394557268;0;0
195394557275;0;0
195394375480;0;0
195394375497;0;0
195394375503;0;0
195394375510;0;0
195394375527;0;0
195394375534;0;0
194151178982;0;0
194151178999;0;0
194151179019;0;0
194151179002;0;0
194151178906;0;0
194151104073;0;0
194151179040;0;0
194151179033;0;0
194151179026;0;0
194151178968;0;0
194151178845;0;0
2430010093651;0;0
5059937591100;0;0
5059937591117;0;0
2430060093656;0;0
2430070093653;0;0
2430020093658;0;0
5059937591056;0;0
2430010093644;0;0
2430020093641;0;0
5053744712048;0;0
5053744712055;0;0
2430050093642;0;0
2430060093649;0;0
2430070093646;0;0
2430080093643;0;0
2430090093640;0;0
2430010093637;0;0
2430020093634;0;0
5059937777641;0;0
5059937777658;0;0
2430050093635;0;0
2430060093632;0;0
2430070093639;0;0
2430080093636;0;0
2430090093633;0;0
2430010093620;0;0
2430020093627;0;0
5059937765112;0;0
2430040093621;0;0
2430050093628;0;0
2430060093625;0;0
2430070093622;0;0
2430080093629;0;0
2430090093626;0;0
810092678687;0;0
810092678663;0;0
810092678670;0;0
850033806267;0;0
810092679868;0;0
810092679844;0;0
810092679837;0;0
810092679639;0;0
810092678939;0;0
8434446838040;0;0
8434446838057;0;0
8434446838026;0;0
8434446838033;0;0
8434446837975;0;0
8434446837982;0;0
8434446838002;0;0
8434446838019;0;0
8434446837999;0;0
8434446839498;0;0
8434446839504;0;0
8434446839511;0;0
8434446839528;0;0
8434446839566;0;0
8434446839535;0;0
8434446839542;0;0
8434446839412;0;0
8434446839399;0;0
8434446839436;0;0
8434446839351;0;0
8434446839368;0;0
8434446839375;0;0
8434446839382;0;0
8434446839283;0;0
8434446839290;0;0
8434446839306;0;0
8434446839337;0;0
8434446839344;0;0
8434446839313;0;0
8434446839320;0;0
8434446839214;0;0
8434446839238;0;0
8434446839221;0;0
8434446839245;0;0
8434446839252;0;0
8434446839276;0;0
8434446839269;0;0
8434446839146;0;0
8434446839153;0;0
8434446839160;0;0
8434446839191;0;0
8434446839177;0;0
8434446839184;0;0
8434446839207;0;0
8434446839078;0;0
8434446839085;0;0
8434446839092;0;0
8434446839108;0;0
8434446839115;0;0
8434446839122;0;0
8434446839139;0;0
8434447726527;0;0
8434447968837;0;0
8434447807297;0;0
8434447928452;0;0
8434447645757;0;0
8434446838859;0;0
8434447766912;0;0
8434447847682;0;0
8434447888067;0;0
8434446838705;0;0
8434446838729;0;0
8434446838750;0;0
8434446838682;0;0
8434446838699;0;0
8434446838736;0;0
8434446838743;0;0
8434446838767;0;0
8434446838712;0;0
8434446838590;0;0
8434446838620;0;0
8434446838606;0;0
8434446838613;0;0
8434446838637;0;0
8434446838644;0;0
8434446838651;0;0
8434446838668;0;0
8434446838675;0;0
8434446838477;0;0
8434446838545;0;0
8434446838484;0;0
8434446838491;0;0
8434446838507;0;0
8434446838514;0;0
8434446838521;0;0
8434446838538;0;0
8434446838552;0;0
8434446838453;0;0
8434446838385;0;0
8434446838415;0;0
8434446838422;0;0
8434446838439;0;0
8434446838460;0;0
8434446838392;0;0
8434446838408;0;0
8434446838446;0;0
8434446838361;0;0
8434446838293;0;0
8434446838316;0;0
8434446838323;0;0
8434446838347;0;0
8434446838354;0;0
8434446838378;0;0
